brand,model,color,year,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,price_in_euro
bmw,118,brown,2010,143.0,Manual,Diesel,4.5,119.0,278040.0,5900.0
bmw,M4,white,2021,510.0,Automatic,Petrol,10.2,234.0,73736.0,75990.0
jeep,Renegade,black,2019,151.0,Automatic,Petrol,6.2,140.0,47500.0,24890.0
hyundai,i30,grey,2022,120.0,Manual,Petrol,5.9,121.0,1200.0,21788.0
bmw,120,orange,2018,190.0,Automatic,Diesel,4.5,120.0,38428.0,18849.0
kia,Ceed / cee'd,silver,2021,101.0,Manual,Petrol,5.2,118.0,3500.0,23400.0
ford,F 150,grey,2015,364.0,Automatic,Petrol,5.8,139.0,99000.0,39999.0
isuzu,D-Max,white,2017,159.0,Manual,Diesel,5.8,139.0,58500.0,24890.0
bmw,Z4,white,2019,197.0,Automatic,Petrol,6.0,136.0,40700.0,38680.0
hyundai,i20,silver,2015,75.0,Manual,Petrol,4.8,114.0,39420.0,9490.0
bmw,520,black,2013,184.0,Automatic,Diesel,4.9,139.0,172000.0,15799.0
audi,A6,grey,2018,326.0,Automatic,Diesel,5.8,154.0,39200.0,42890.0
bmw,X3 M,black,2019,326.0,Automatic,Diesel,6.4,169.0,65000.0,42490.0
dacia,Duster,blue,2018,114.0,Manual,Petrol,6.4,145.0,25442.0,13688.0
hyundai,KONA,red,2023,120.0,Manual,Petrol,5.3,122.0,2999.0,21690.0
bmw,X4,grey,2021,286.0,Automatic,Diesel,5.6,146.0,92400.0,44480.0
bmw,530,silver,2019,252.0,Automatic,Hybrid,1.8,120.0,14264.0,41999.0
kia,Ceed / cee'd,silver,2012,90.0,Manual,Petrol,5.8,137.0,60000.0,8950.0
bmw,X3,black,2007,286.0,Automatic,Diesel,7.8,207.0,237990.0,8990.0
ford,Fiesta,red,2018,86.0,Manual,Diesel,3.5,91.0,34500.0,13390.0
mazda,6,white,2011,163.0,Manual,Diesel,5.4,143.0,210000.0,12999.0
land-rover,Land Rover Range Rover Sport,black,2019,306.0,Automatic,Diesel,9.4,248.0,73100.0,76750.0
audi,A4,black,2010,177.0,Manual,Petrol,6.6,139.0,251500.0,8000.0
audi,Q5,white,2010,170.0,Automatic,Diesel,6.8,179.0,143300.0,19950.0
audi,Q2,black,2018,150.0,Manual,Petrol,5.8,130.0,106706.0,18900.0
citroen,Spacetourer,black,2019,179.0,Automatic,Diesel,5.5,145.0,24000.0,38989.0
audi,A5,blue,2017,252.0,Automatic,Petrol,6.3,144.0,87000.0,25799.0
bmw,520,blue,2016,190.0,Automatic,Diesel,4.5,119.0,87100.0,22899.0
kia,XCeed,white,2023,136.0,Automatic,Diesel,4.9,129.0,15.0,34990.0
audi,A4,blue,2011,120.0,Manual,Diesel,5.1,135.0,230000.0,7800.0
fiat,Ducato,black,2010,145.0,Manual,Diesel,5.8,139.0,76295.0,39500.0
ford,Mondeo,grey,2015,150.0,Automatic,Diesel,4.9,126.0,228900.0,12600.0
audi,A1,black,2013,86.0,Manual,Petrol,5.1,121.0,135000.0,11900.0
hyundai,i30,silver,2022,120.0,Manual,Hybrid,4.4,102.0,11845.0,19950.0
kia,Sportage,black,2019,177.0,Manual,Petrol,8.1,184.0,49990.0,24490.0
bmw,320,black,2021,190.0,Automatic,Diesel,4.5,118.0,43100.0,32990.0
alfa-romeo,Alfa Romeo Giulia,grey,2020,280.0,Automatic,Petrol,5.8,139.0,18291.0,33950.0
mazda,CX-5,white,2015,175.0,Automatic,Diesel,5.5,144.0,115000.0,17150.0
hyundai,i10,silver,2022,67.0,Manual,Petrol,4.5,104.0,23000.0,13600.0
audi,TT RS,black,2017,400.0,Automatic,Petrol,8.2,192.0,23201.0,64890.0
hyundai,i30,grey,2018,140.0,Automatic,Petrol,5.5,125.0,81519.0,18450.0
bmw,135,grey,2013,320.0,Automatic,Petrol,7.8,185.0,90000.0,24490.0
audi,Q7,black,2017,272.0,Automatic,Diesel,6.2,163.0,105000.0,43900.0
bmw,X1,white,2020,192.0,Automatic,Petrol,6.0,137.0,60895.0,28990.0
ford,Focus,blue,2018,125.0,Automatic,Petrol,5.5,125.0,118000.0,11900.0
hyundai,i10,red,2015,67.0,Manual,Petrol,4.7,108.0,74462.0,6990.0
bmw,318,blue,2003,143.0,Manual,Petrol,7.6,185.0,224905.0,3400.0
bentley,Continental,gold,2023,551.0,Automatic,Petrol,11.7,139.0,1923.0,317950.0
maserati,Ghibli,grey,2020,349.0,Automatic,Petrol,11.0,139.0,43300.0,64444.0
bentley,Mulsanne,green,2013,513.0,Automatic,Petrol,16.9,139.0,82000.0,89900.0
audi,TT,blue,2007,200.0,Automatic,Petrol,7.7,183.0,214000.0,8700.0
bmw,420,white,2021,184.0,Automatic,Petrol,6.1,140.0,99004.0,42490.0
dacia,Dokker,blue,2019,95.0,Manual,Diesel,4.4,116.0,50897.0,18940.0
audi,Q3,silver,2023,150.0,Automatic,Petrol,6.5,147.0,10.0,39203.0
audi,A3,silver,2022,150.0,Automatic,Petrol,5.7,130.0,9999.0,31930.0
jeep,Grand Cherokee,blue,2018,250.0,Automatic,Diesel,7.5,199.0,85000.0,34200.0
kia,Rio,black,2014,109.0,Manual,Petrol,5.3,126.0,85500.0,8999.0
bmw,X1,white,2011,177.0,Manual,Diesel,5.8,153.0,236581.0,7400.0
kia,Ceed / cee'd,blue,2023,204.0,Automatic,Petrol,6.5,147.0,4900.0,31765.0
ford,Fiesta,white,2018,71.0,Unknown,Petrol,4.7,107.0,79200.0,9990.0
ford,Focus,silver,2016,125.0,Manual,Petrol,4.8,110.0,60936.0,14990.0
dacia,Sandero,orange,2023,91.0,Manual,Petrol,5.3,160.0,68441.0,16898.0
bmw,X3,black,2008,218.0,Automatic,Diesel,7.7,139.0,204100.0,11900.0
dacia,Spring,blue,2022,45.0,Automatic,Electric,5.8,0.0,15.0,18350.0
bmw,116,orange,2022,109.0,Automatic,Petrol,5.8,125.0,13000.0,26150.0
bmw,120,grey,2011,170.0,Automatic,Petrol,6.5,152.0,105200.0,18888.0
fiat,500,grey,2020,69.0,Manual,Hybrid,3.9,88.0,21509.0,13950.0
bmw,320,white,2016,184.0,Automatic,Petrol,6.6,156.0,69900.0,24980.0
fiat,500C,grey,2022,118.0,Automatic,Electric,5.8,0.0,6500.0,34990.0
hyundai,i30,grey,2017,275.0,Manual,Petrol,7.1,163.0,74306.0,23950.0
audi,A6,grey,2011,204.0,Automatic,Diesel,5.1,133.0,166000.0,16640.0
ford,Tourneo Custom,silver,2019,170.0,Automatic,Diesel,7.0,183.0,91006.0,39980.0
ford,Fiesta,white,2019,200.0,Manual,Petrol,5.9,132.0,75000.0,17500.0
fiat,Ducato,white,2021,120.0,Manual,Diesel,6.5,176.0,3500.0,37690.0
